Vehiculo;Trayecto 1;Trayecto 2;Trayecto 3;Trayecto 4;Trayecto 5;Trayecto 6;Trayecto 7;Trayecto 8
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Camion 1;442701;147567;105405;210810;42162;168648;295134;46378
Camion 2;335832;111944;79960;159920;31984;127936;223888;351824
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
Bus;1270588;434080;276726;596860;123893.7;504618;864542.6;1384534
